Date,OPEN,CLOSE,HIGH,LOW,MAx3,MAx2,MAx1,Ret,LN
03/06/2012,1364.00,1341.50,1365.75,1338.50,1352.59,1323.64,1268.44,0.98332,-0.016816436
03/07/2012,1341.50,1353.00,1354.25,1341.25,1352.63,1324.80,1269.29,1.00857,0.008535958
03/08/2012,1352.75,1366.25,1368.50,1350.50,1353.87,1326.42,1270.25,1.00979,0.009745411
03/09/2012,1366.25,1372.00,1374.50,1363.25,1355.52,1328.21,1271.26,1.00421,0.004199769
03/12/2012,1372.75,1372.75,1372.75,1366.00,1357.08,1329.95,1272.27,1.00055,0.000546498
03/13/2012,1372.50,1396.50,1397.00,1371.50,1360.67,1332.56,1273.51,1.0173,0.017153079
03/14/2012,1396.50,1394.25,1399.75,1390.00,1363.72,1334.98,1274.71,0.99839,-0.00161247
03/15/2012,1394.00,1401.25,1403.00,1390.50,1367.13,1337.58,1275.97,1.00502,0.005008059
03/16/2012,1401.50,1405.75,1406.25,1400.00,1370.64,1340.26,1277.26,1.00321,0.003206273
03/19/2012,1397.25,1404.25,1408.00,1393.50,1373.70,1342.77,1278.52,0.99893,-0.001067616
03/20/2012,1404.00,1400.00,1405.00,1391.75,1376.09,1345.01,1279.73,0.99697,-0.003031116
03/21/2012,1400.00,1397.75,1405.75,1394.25,1378.06,1347.08,1280.91,0.99839,-0.001608436
03/22/2012,1397.75,1389.00,1400.75,1382.50,1379.05,1348.72,1281.98,0.99374,-0.006279737
03/23/2012,1389.00,1394.25,1395.25,1380.50,1380.43,1350.51,1283.10,1.00378,0.003772573
03/26/2012,1393.75,1415.25,1415.50,1392.50,1383.60,1353.05,1284.41,1.01506,0.014949558
03/27/2012,1415.00,1406.00,1419.75,1406.00,1385.64,1355.12,1285.62,0.99346,-0.006557401
03/28/2012,1406.25,1400.00,1412.25,1392.00,1386.94,1356.88,1286.76,0.99573,-0.004276557
03/29/2012,1399.50,1398.00,1404.00,1386.25,1387.95,1358.50,1287.87,0.99857,-0.001429593
03/30/2012,1398.00,1404.00,1406.25,1395.75,1389.41,1360.28,1289.02,1.00429,0.004282662
04/02/2012,1407.25,1412.25,1417.75,1399.00,1391.48,1362.32,1290.25,1.00588,0.005858872
04/03/2012,1412.00,1408.50,1414.25,1399.50,1393.03,1364.13,1291.43,0.99734,-0.002658869
04/04/2012,1409.00,1393.25,1409.00,1388.50,1393.05,1365.27,1292.44,0.98917,-0.010886161
04/05/2012,1393.25,1390.25,1397.75,1384.00,1392.80,1366.25,1293.41,0.99785,-0.00215556
04/06/2012,1390.50,1375.00,1394.75,1372.00,1391.18,1366.59,1294.23,0.98903,-0.011029856
04/09/2012,1375.00,1374.50,1382.75,1371.75,1389.66,1366.90,1295.02,0.99964,-0.000363702
04/10/2012,1374.25,1356.75,1380.75,1352.50,1386.67,1366.51,1295.64,0.98709,-0.012997895
04/11/2012,1357.75,1364.25,1370.50,1357.50,1384.63,1366.42,1296.32,1.00553,0.005512693
04/12/2012,1364.25,1386.00,1386.25,1363.25,1384.76,1367.18,1297.21,1.01594,0.015817074
04/13/2012,1385.75,1365.00,1388.50,1363.75,1382.96,1367.10,1297.89,0.98485,-0.015267472
04/16/2012,1366.00,1363.75,1375.25,1360.50,1381.21,1366.97,1298.54,0.99908,-0.00091617
04/17/2012,1364.25,1383.75,1388.75,1359.25,1381.44,1367.63,1299.39,1.01467,0.014558947
04/18/2012,1383.75,1378.50,1386.75,1377.75,1381.18,1368.05,1300.18,0.99621,-0.003801254
04/19/2012,1378.75,1372.50,1390.00,1365.50,1380.39,1368.23,1300.90,0.99565,-0.004362057
04/20/2012,1373.75,1375.00,1383.25,1371.25,1379.90,1368.49,1301.64,1.00182,0.001819837
04/23/2012,1372.25,1362.75,1374.75,1354.00,1378.34,1368.27,1302.24,0.99109,-0.008949014
04/24/2012,1363.00,1370.00,1371.25,1361.00,1377.58,1368.34,1302.92,1.00532,0.005306023
04/25/2012,1370.75,1387.50,1387.75,1369.50,1378.48,1369.09,1303.76,1.01277,0.012692827
04/26/2012,1387.25,1397.00,1398.25,1381.00,1380.17,1370.18,1304.69,1.00685,0.006823514
04/27/2012,1396.75,1399.00,1403.00,1386.50,1381.88,1371.31,1305.63,1.00143,0.001430615
04/30/2012,1400.25,1394.25,1402.50,1389.75,1383.00,1372.21,1306.51,0.9966,-0.003401059
05/01/2012,1394.25,1400.50,1411.75,1391.25,1384.59,1373.32,1307.44,1.00448,0.004472679
05/02/2012,1400.50,1397.50,1404.75,1389.25,1385.77,1374.27,1308.34,0.99786,-0.00214439
05/03/2012,1397.50,1386.00,1402.75,1384.50,1385.79,1374.73,1309.11,0.99177,-0.008263025
05/04/2012,1386.50,1362.50,1389.00,1361.50,1383.67,1374.25,1309.64,0.98304,-0.017100653
05/07/2012,1354.00,1365.75,1370.25,1342.50,1382.04,1373.92,1310.20,1.00239,0.002382481
05/08/2012,1365.25,1358.75,1368.00,1343.75,1379.92,1373.32,1310.68,0.99487,-0.005138569
05/09/2012,1359.00,1351.00,1360.75,1339.25,1377.29,1372.45,1311.09,0.9943,-0.0057201
05/10/2012,1351.25,1357.25,1363.75,1345.75,1375.47,1371.85,1311.54,1.00463,0.004615535
05/11/2012,1357.50,1350.00,1363.25,1344.00,1373.16,1370.99,1311.93,0.99466,-0.005356001
